X,Description,Batch,Start Date,Delivery Date,Customer1,Description,Customer2,Responsible,Comms BT02,Comms BT03,BT.St,Material,Prod.Sch,Quantity
false,U28AU110R GENERIC GRAY PR,209771378,08/05/2021,14/05/2021,GM RAMOS,Pre-Ensamble,,NO HAY TOT,,,5,50287534,1,"6,110.50"
false,E54WU108S Groundcoat Aba,209580424,12/05/2021,15/05/2021,GM SILAO,,,,,,,50394759,4,"10,898.91"
false,U28AU110C GENERIC GRAY PR,209533427,11/05/2021,17/05/2021,GM SLP,,,,,,,50654466,1,"7,223.57"
false,E270KU421 ANTHRACITE CP1,209599490,13/05/2021,17/05/2021,COMPAS,,,,,,,50497447,4,"15,084.49"
false,U28WU743S Primer Abalone,209628422,14/05/2021,17/05/2021,GM SILAO,,,,,,,50414153,1,"8,072.46"
false,U28AU110 GENERIC GRAY PRM,209640465,06/05/2021,17/05/2021,GM SILAO,,,,,,,50277360,1,"7,950.71"
false,E10CU081G-R 2K4 HIGH VISC,209682705,12/05/2021,17/05/2021,GM RAMOS,,,,,,,50719321,1,"3,649.52"
false,E386RU230M 46V SRed C BC2,209704534,13/05/2021,17/05/2021,MAZDA,,,,,,,50507478,1,"4,635.00"
false,E211AU336 LA SILVER,209726233,05/05/2021,17/05/2021,RIVIAN,,,,,,,50678294,4,"1,955.17"
false,U04AU073 ACC Primer UN102,209435876,14/05/2021,18/05/2021,NISSAN SMY,,,,,,,50304680,1,748.045
false,E386RU468F SBBC CODE ORAN,209559081,07/05/2021,18/05/2021,FORD MAP,,,,,,,50691618,1,460.663
false,E99ZU108R ABALONE WHIT MC,209561992,07/05/2021,18/05/2021,PORA,,,,,,,50483552,1,957.45
